Date,Daily_Items_Sold,Transactions,Total_Daily_Value,Avg_Item_Value_GBP,Avg_Trans_Value_GBP
2014-05-26,386,172,"18,006",46.65,104.69
2014-05-27,376,170,"17,653",46.95,103.84
2014-05-28,285,123,"13,004",45.63,105.72
2014-05-29,232,92,"10,309",44.43,112.05
2014-05-30,237,104,"10,286",43.40,98.90
2014-05-31,199,91,"10,219",51.35,112.30
2014-06-01,227,97,"11,166",49.19,115.11
2014-06-02,238,108,"10,371",43.57,96.02
2014-06-03,218,94,"10,572",48.50,112.47
2014-06-04,151,66,"6,502",43.06,98.52
2014-06-05,159,74,"7,182",45.17,97.06
2014-06-06,147,68,"5,525",37.58,81.25
2014-06-07,160,74,"6,990",43.69,94.46
2014-06-08,139,59,"6,212",44.69,105.30
2014-06-09,162,67,"6,030",37.22,90.00
2014-06-10,185,84,"8,698",47.01,103.54
2014-06-11,156,72,"7,603",48.74,105.60
2014-06-12,199,80,"9,317",46.82,116.46
2014-06-13,201,88,"8,975",44.65,101.99
2014-06-14,202,83,"9,583",47.44,115.46
2014-06-15,240,97,"10,563",44.01,108.90
2014-06-16,233,99,"9,760",41.89,98.58
2014-06-17,243,104,"10,788",44.40,103.73
2014-06-18,204,86,"8,685",42.57,100.99
2014-06-19,262,125,"10,634",40.59,85.07
2014-06-20,264,123,"12,914",48.92,104.99
2014-06-21,242,110,"12,333",50.96,112.12
2014-06-22,245,111,"11,319",46.20,101.97
2014-06-23,257,113,"11,304",43.98,100.03
2014-06-24,288,119,"12,502",43.41,105.06
2014-06-25,221,101,"9,969",45.11,98.71
2014-06-26,262,108,"11,270",43.02,104.35
2014-06-27,238,109,"10,830",45.50,99.36
2014-06-28,227,95,"10,825",47.69,113.95
2014-06-29,318,124,"14,596",45.90,117.71
2014-06-30,366,156,"17,012",46.48,109.05
2014-07-01,252,107,"10,571",41.95,98.79
2014-07-02,196,92,"7,962",40.62,86.54
2014-07-03,186,83,"7,763",41.74,93.53
2014-07-04,200,89,"8,745",43.73,98.26
2014-07-05,259,99,"12,153",46.92,122.76
2014-07-06,290,120,"13,303",45.87,110.86
2014-07-07,274,115,"12,485",45.57,108.57
2014-07-08,225,95,"11,014",48.95,115.93
2014-07-09,213,91,"10,462",49.12,114.97
2014-07-10,255,112,"10,537",41.32,94.08
2014-07-11,194,89,"9,027",46.53,101.42
2014-07-12,192,82,"8,648",45.04,105.46
2014-07-13,235,110,"11,581",49.28,105.29
2014-07-14,252,110,"11,085",43.99,100.78
2014-07-15,280,118,"11,831",42.25,100.26
2014-07-16,225,99,"10,474",46.55,105.79
2014-07-17,200,89,"8,227",41.13,92.43
2014-07-18,213,90,"8,004",37.58,88.93
2014-07-19,231,93,"10,302",44.60,110.78
2014-07-20,256,100,"10,430",40.74,104.30
2014-07-21,269,112,"11,971",44.50,106.89
2014-07-22,350,147,"14,097",40.28,95.90
2014-07-23,399,166,"17,054",42.74,102.74
2014-07-24,305,123,"13,336",43.72,108.42
2014-07-25,329,144,"14,573",44.29,101.20
2014-07-26,206,90,"8,838",42.90,98.20
2014-07-27,236,95,"10,859",46.01,114.31
2014-07-28,293,119,"12,709",43.37,106.80
2014-07-29,241,105,"9,919",41.16,94.47
2014-07-30,313,127,"14,154",45.22,111.45
2014-07-31,260,110,"10,025",38.56,91.14
2014-08-01,259,103,"12,080",46.64,117.28
2014-08-02,232,98,"10,307",44.43,105.17
2014-08-03,243,101,"10,156",41.80,100.56
2014-08-04,359,146,"14,957",41.66,102.44
2014-08-05,310,131,"13,087",42.22,99.90
2014-08-06,352,149,"15,479",43.97,103.89
2014-08-07,203,81,"8,852",43.60,109.28
2014-08-08,160,68,"7,168",44.80,105.41
2014-08-09,161,68,"6,414",39.84,94.33
2014-08-10,226,85,"9,442",41.78,111.09
2014-08-11,254,114,"11,562",45.52,101.42
2014-08-12,243,102,"10,436",42.95,102.31
2014-08-13,198,84,"8,362",42.23,99.55
2014-08-14,215,86,"9,791",45.54,113.85
2014-08-15,183,79,"7,058",38.57,89.35
2014-08-16,176,72,"7,465",42.42,103.68
2014-08-17,254,100,"9,964",39.23,99.64
2014-08-18,265,105,"10,468",39.50,99.70
2014-08-19,289,121,"11,946",41.34,98.73
2014-08-20,198,84,"8,740",44.14,104.04
2014-08-21,241,97,"8,507",35.30,87.70
2014-08-22,223,94,"9,501",42.60,101.07
2014-08-23,164,70,"6,560",40.00,93.71
2014-08-24,136,60,"5,335",39.23,88.92
2014-08-25,243,92,"10,492",43.18,114.04
2014-08-26,268,110,"11,881",44.33,108.01
2014-08-27,228,91,"8,887",38.98,97.66
2014-08-28,251,106,"11,143",44.39,105.12
2014-08-29,243,105,"10,767",44.31,102.54
2014-08-30,158,71,"7,093",44.89,99.90
2014-08-31,198,72,"8,865",44.77,123.12
2014-09-01,235,99,"9,930",42.25,100.30
2014-09-02,259,100,"11,161",43.09,111.61
2014-09-03,179,81,"7,375",41.20,91.05
2014-09-04,183,73,"7,975",43.58,109.24
2014-09-05,142,64,"5,626",39.62,87.90
2014-09-06,169,72,"7,517",44.48,104.40
2014-09-07,156,63,"6,570",42.11,104.28
2014-09-08,161,68,"7,315",45.43,107.57
2014-09-09,187,76,"9,019",48.23,118.68
2014-09-10,122,52,"5,427",44.48,104.36
2014-09-11,165,67,"7,278",44.11,108.63
2014-09-12,177,75,"7,091",40.06,94.55
2014-09-13,142,59,"5,797",40.83,98.26
2014-09-14,203,80,"8,876",43.72,110.94
2014-09-15,169,69,"8,249",48.81,119.54
2014-09-16,246,99,"10,525",42.78,106.31
2014-09-17,190,83,"7,997",42.09,96.34
2014-09-18,148,62,"6,469",43.71,104.34
2014-09-19,147,66,"6,902",46.95,104.58
2014-09-20,151,59,"7,174",47.51,121.60
2014-09-21,170,69,"7,857",46.22,113.86
2014-09-22,158,70,"7,844",49.64,112.05
2014-09-23,166,69,"7,316",44.07,106.03
2014-09-24,200,86,"9,181",45.91,106.76
2014-09-25,201,75,"9,853",49.02,131.37
2014-09-26,205,85,"8,270",40.34,97.29
2014-09-27,240,96,"9,836",40.98,102.46
2014-09-28,278,117,"12,978",46.68,110.92
2014-09-29,298,123,"13,878",46.57,112.83
2014-09-30,351,142,"14,494",41.29,102.07
2014-10-01,299,120,"13,521",45.22,112.68
2014-10-02,312,124,"14,400",46.16,116.13
2014-10-03,219,90,"10,738",49.03,119.31
2014-10-04,210,89,"9,375",44.64,105.33
2014-10-05,401,150,"19,124",47.69,127.49
2014-10-06,331,127,"14,817",44.76,116.67
2014-10-07,253,98,"10,505",41.52,107.20
2014-10-08,259,105,"11,238",43.39,107.03
2014-10-09,271,105,"10,577",39.03,100.74
2014-10-10,310,120,"13,918",44.90,115.98
2014-10-11,273,101,"11,116",40.72,110.06
2014-10-12,359,148,"15,646",43.58,105.72
2014-10-13,431,169,"18,600",43.16,110.06
2014-10-14,386,152,"17,077",44.24,112.35
2014-10-15,357,145,"15,554",43.57,107.27
2014-10-16,337,127,"13,082",38.82,103.01
2014-10-17,342,150,"14,110",41.26,94.06
2014-10-18,309,125,"13,897",44.98,111.18
2014-10-19,417,164,"16,494",39.55,100.57
2014-10-20,363,143,"15,170",41.79,106.08
2014-10-21,421,173,"17,945",42.62,103.73
2014-10-22,358,147,"15,211",42.49,103.48
2014-10-23,360,149,"15,924",44.23,106.87
2014-10-24,421,174,"18,747",44.53,107.74
2014-10-25,409,155,"19,763",48.32,127.51
2014-10-26,452,173,"20,045",44.35,115.87
2014-10-27,485,200,"21,014",43.33,105.07
2014-10-28,422,175,"18,874",44.73,107.85
2014-10-29,495,189,"22,032",44.51,116.57
2014-10-30,398,156,"17,578",44.16,112.68
2014-10-31,370,157,"16,882",45.63,107.53
2014-11-01,351,150,"16,367",46.63,109.11
2014-11-02,541,205,"23,826",44.04,116.22
2014-11-03,400,163,"16,711",41.78,102.52
2014-11-04,376,141,"15,284",40.65,108.40
2014-11-05,309,131,"14,005",45.33,106.91
2014-11-06,437,163,"19,707",45.10,120.90
2014-11-07,362,150,"16,155",44.63,107.70
2014-11-08,341,144,"14,935",43.80,103.71
2014-11-09,326,144,"14,331",43.96,99.52
2014-11-10,430,164,"17,706",41.18,107.97
2014-11-11,444,171,"19,357",43.60,113.20
2014-11-12,397,171,"17,049",42.94,99.70
2014-11-13,333,141,"15,267",45.85,108.27
2014-11-14,502,193,"22,624",45.07,117.22
2014-11-15,334,131,"15,758",47.18,120.29
2014-11-16,461,178,"19,689",42.71,110.61
2014-11-17,500,198,"23,262",46.52,117.49
2014-11-18,326,142,"14,402",44.18,101.42
2014-11-19,349,142,"14,653",41.99,103.19
2014-11-20,305,129,"13,764",45.13,106.69
2014-11-21,246,103,"9,783",39.77,94.98
2014-11-22,290,117,"12,081",41.66,103.26
2014-11-23,345,150,"16,607",48.14,110.72
2014-11-24,432,178,"19,328",44.74,108.58
2014-11-25,447,196,"21,286",47.62,108.60
2014-11-26,421,184,"18,017",42.79,97.92
2014-11-27,492,198,"21,737",44.18,109.78
2014-11-28,682,293,"29,510",43.27,100.72
2014-11-29,536,222,"24,271",45.28,109.33
2014-11-30,686,278,"30,255",44.10,108.83
2014-12-01,754,303,"31,135",41.29,102.75
2014-12-02,511,209,"22,932",44.88,109.72
2014-12-03,542,223,"24,671",45.52,110.63
2014-12-04,427,182,"19,223",45.02,105.62
2014-12-05,366,152,"15,730",42.98,103.48
2014-12-06,329,135,"14,500",44.07,107.41
2014-12-07,507,210,"22,450",44.28,106.91
2014-12-08,574,236,"26,574",46.30,112.60
2014-12-09,494,209,"22,409",45.36,107.22
2014-12-10,505,211,"22,411",44.38,106.21
2014-12-11,360,151,"17,377",48.27,115.08
2014-12-12,385,161,"17,996",46.74,111.78
2014-12-13,325,136,"14,247",43.84,104.76
2014-12-14,417,173,"17,588",42.18,101.67
2014-12-15,520,225,"22,835",43.91,101.49
2014-12-16,463,196,"20,388",44.03,104.02
2014-12-17,483,198,"21,251",44.00,107.33
2014-12-18,424,188,"19,597",46.22,104.24
2014-12-19,519,218,"23,698",45.66,108.71
2014-12-20,439,182,"19,248",43.85,105.76
2014-12-21,447,187,"20,166",45.12,107.84
2014-12-22,469,201,"20,472",43.65,101.85
2014-12-23,472,202,"23,076",48.89,114.24
2014-12-24,480,203,"22,014",45.86,108.44
2014-12-25,178,77,"8,255",46.38,107.21
2014-12-26,272,114,"12,486",45.90,109.53
2014-12-27,202,89,"8,222",40.70,92.38
2014-12-28,297,125,"14,228",47.90,113.82
2014-12-29,286,123,"12,885",45.05,104.75
2014-12-30,325,138,"13,705",42.17,99.31
2014-12-31,258,108,"11,782",45.67,109.09
2015-01-01,368,149,"19,191",52.15,128.80
2015-01-02,349,153,"15,044",43.11,98.33
2015-01-03,359,139,"17,489",48.72,125.82
2015-01-04,413,167,"18,974",45.94,113.62
2015-01-05,430,163,"19,715",45.85,120.95
2015-01-06,435,178,"20,442",46.99,114.84
2015-01-07,462,195,"23,409",50.67,120.05
2015-01-08,470,190,"23,385",49.76,123.08
2015-01-09,344,145,"15,722",45.70,108.43
2015-01-10,401,154,"20,550",51.25,133.44
2015-01-11,502,191,"23,561",46.93,123.35
2015-01-12,386,165,"19,933",51.64,120.81
2015-01-13,379,149,"19,080",50.34,128.06
2015-01-14,368,144,"16,228",44.10,112.69
2015-01-15,318,125,"15,293",48.09,122.35
2015-01-16,287,117,"13,960",48.64,119.31
2015-01-17,293,120,"13,959",47.64,116.32
2015-01-18,380,149,"17,131",45.08,114.97
2015-01-19,391,151,"16,705",42.72,110.63
2015-01-20,306,128,"13,211",43.17,103.21
2015-01-21,363,141,"16,036",44.18,113.73
2015-01-22,318,127,"13,877",43.64,109.26
2015-01-23,289,121,"13,416",46.42,110.87
2015-01-24,389,160,"16,943",43.56,105.89
2015-01-25,411,156,"18,849",45.86,120.83
2015-01-26,551,220,"23,463",42.58,106.65
2015-01-27,449,190,"19,553",43.55,102.91
2015-01-28,449,190,"19,616",43.69,103.24
2015-01-29,397,163,"18,391",46.33,112.83
2015-01-30,459,184,"20,528",44.72,111.56
2015-01-31,452,180,"21,739",48.10,120.77
2015-02-01,543,217,"23,389",43.07,107.78
2015-02-02,546,215,"24,386",44.66,113.42
2015-02-03,436,174,"19,445",44.60,111.76
2015-02-04,469,185,"21,113",45.02,114.13
2015-02-05,398,162,"17,293",43.45,106.75
2015-02-06,328,133,"14,988",45.70,112.69
2015-02-07,372,148,"17,663",47.48,119.35
2015-02-08,481,184,"21,506",44.71,116.88
2015-02-09,489,187,"22,925",46.88,122.59
2015-02-10,418,173,"19,455",46.54,112.46
2015-02-11,384,170,"17,758",46.25,104.46
2015-02-12,443,181,"19,556",44.14,108.04
2015-02-13,381,168,"17,952",47.12,106.86
2015-02-14,342,140,"16,045",46.91,114.61
2015-02-15,393,155,"17,310",44.05,111.68
2015-02-16,481,179,"23,667",49.20,132.22
2015-02-17,410,173,"19,594",47.79,113.26
2015-02-18,603,253,"29,767",49.36,117.65
2015-02-19,508,215,"24,303",47.84,113.04
2015-02-20,503,215,"24,311",48.33,113.08
2015-02-21,369,151,"18,949",51.35,125.49
2015-02-22,423,174,"20,712",48.96,119.03
2015-02-23,378,166,"17,151",45.37,103.32
2015-02-24,330,143,"15,074",45.68,105.41
2015-02-25,349,139,"17,051",48.86,122.67
2015-02-26,282,116,"12,398",43.96,106.88
2015-02-27,300,119,"14,954",49.85,125.67
2015-02-28,358,134,"16,637",46.47,124.15
2015-03-01,338,139,"17,271",51.10,124.25
2015-03-02,389,154,"18,032",46.36,117.09
2015-03-03,343,146,"16,674",48.61,114.21
2015-03-04,286,113,"13,243",46.30,117.20
2015-03-05,274,107,"12,566",45.86,117.44
2015-03-06,278,112,"12,514",45.01,111.73
2015-03-07,312,140,"13,520",43.33,96.57
2015-03-08,398,153,"18,336",46.07,119.84
2015-03-09,384,160,"16,297",42.44,101.86
2015-03-10,328,127,"14,348",43.74,112.97
2015-03-11,399,153,"19,451",48.75,127.13
2015-03-12,274,113,"12,576",45.90,111.29
2015-03-13,265,104,"10,808",40.79,103.93
2015-03-14,295,118,"12,524",42.45,106.13
2015-03-15,312,115,"13,519",43.33,117.56
2015-03-16,313,119,"13,058",41.72,109.73
2015-03-17,266,107,"12,733",47.87,119.00
2015-03-18,276,112,"12,194",44.18,108.88
2015-03-19,217,89,"9,731",44.84,109.34
2015-03-20,317,123,"13,267",41.85,107.86
2015-03-21,319,127,"15,869",49.74,124.95
2015-03-22,279,114,"13,932",49.94,122.21
2015-03-23,312,127,"14,133",45.30,111.28
2015-03-24,361,141,"15,701",43.49,111.35
2015-03-25,282,118,"12,053",42.74,102.14
2015-03-26,249,101,"11,026",44.28,109.16
2015-03-27,269,107,"12,417",46.16,116.05
2015-03-28,351,137,"16,859",48.03,123.06
2015-03-29,368,147,"16,199",44.02,110.20
2015-03-30,349,145,"15,658",44.86,107.98
2015-03-31,294,122,"12,950",44.05,106.15
2015-04-01,294,118,"13,313",45.28,112.82
2015-04-02,258,116,"11,539",44.72,99.47
2015-04-03,321,126,"16,232",50.57,128.83
2015-04-04,280,107,"12,044",43.01,112.56
2015-04-05,227,93,"10,156",44.74,109.20
2015-04-06,208,81,"10,303",49.53,127.19
2015-04-07,252,96,"11,838",46.98,123.32
2015-04-08,262,102,"12,477",47.62,122.32
2015-04-09,203,91,"8,727",42.99,95.90
2015-04-10,224,92,"10,845",48.42,117.88
2015-04-11,201,84,"9,586",47.69,114.12
2015-04-12,204,84,"10,370",50.83,123.45
2015-04-13,210,92,"9,277",44.18,100.84
2015-04-14,195,86,"8,425",43.21,97.97
2015-04-15,177,77,"8,876",50.14,115.27
2015-04-16,183,73,"8,505",46.47,116.50
2015-04-17,782,363,"40,133",51.32,110.56
2015-04-18,388,163,"22,912",59.05,140.56
2015-04-19,365,142,"19,572",53.62,137.83
2015-04-20,326,140,"17,204",52.77,122.89
2015-04-21,251,107,"12,632",50.33,118.05
2015-04-22,183,82,"8,790",48.03,107.20
2015-04-23,258,107,"11,640",45.12,108.78
2015-04-24,374,163,"18,898",50.53,115.94
2015-04-25,300,132,"15,362",51.21,116.38
2015-04-26,330,137,"16,654",50.47,121.57
2015-04-27,284,117,"12,505",44.03,106.88
2015-04-28,312,136,"15,011",48.11,110.37
2015-04-29,303,137,"13,614",44.93,99.37
2015-04-30,265,100,"11,796",44.51,117.96
2015-05-01,256,106,"11,421",44.61,107.74
2015-05-02,187,82,"9,126",48.80,111.29
2015-05-03,229,99,"10,889",47.55,109.99
2015-05-04,241,109,"9,054",37.57,83.07
2015-05-05,256,106,"11,231",43.87,105.95
2015-05-06,249,107,"10,840",43.53,101.31
2015-05-07,212,89,"9,115",43.00,102.42
2015-05-08,212,90,"10,584",49.92,117.60
2015-05-09,276,109,"12,714",46.06,116.64
2015-05-10,236,92,"10,230",43.35,111.20
2015-05-11,301,128,"13,300",44.18,103.90
2015-05-12,408,156,"17,790",43.60,114.04
2015-05-13,262,101,"11,354",43.34,112.42
2015-05-14,234,99,"11,030",47.14,111.42
2015-05-15,212,89,"10,159",47.92,114.15
2015-05-16,200,82,"8,280",41.40,100.97
2015-05-17,227,85,"10,021",44.14,117.89
2015-05-18,294,122,"13,588",46.22,111.37
2015-05-19,251,102,"11,718",46.68,114.88
2015-05-20,257,106,"9,860",38.37,93.02
2015-05-21,206,87,"9,424",45.75,108.32
2015-05-22,198,83,"8,694",43.91,104.74
2015-05-23,237,96,"8,293",34.99,86.39
2015-05-24,211,86,"7,326",34.72,85.19
2015-05-25,306,112,"10,976",35.87,98.00
2015-05-26,263,107,"11,105",42.22,103.79
2015-05-27,285,107,"11,904",41.77,111.25
2015-05-28,291,122,"11,339",38.97,92.94
2015-05-29,372,147,"13,524",36.36,92.00
2015-05-30,282,108,"9,412",33.38,87.15
2015-05-31,340,142,"14,082",41.42,99.17
2015-06-01,500,201,"17,922",35.84,89.16
2015-06-02,408,159,"14,521",35.59,91.33
2015-06-03,298,119,"11,041",37.05,92.78
2015-06-04,249,99,"9,029",36.26,91.20
2015-06-05,245,101,"8,973",36.62,88.84
2015-06-06,265,109,"9,575",36.13,87.85
2015-06-07,204,79,"8,128",39.84,102.88
2015-06-08,382,150,"16,068",42.06,107.12
2015-06-09,302,125,"10,906",36.11,87.25
2015-06-10,299,123,"11,785",39.41,95.81
2015-06-11,267,105,"10,570",39.59,100.66
2015-06-12,257,103,"9,719",37.82,94.36
2015-06-13,260,110,"10,271",39.51,93.38
2015-06-14,423,145,"14,001",33.10,96.56
2015-06-15,308,121,"10,432",33.87,86.21
2015-06-16,238,95,"9,834",41.32,103.51
2015-06-17,293,121,"11,605",39.61,95.91
2015-06-18,290,116,"10,580",36.48,91.20
2015-06-19,326,132,"12,939",39.69,98.02
2015-06-20,260,110,"11,980",46.08,108.91
2015-06-21,249,100,"9,141",36.71,91.41
2015-06-22,322,117,"11,618",36.08,99.30
2015-06-23,199,79,"8,573",43.08,108.52
2015-06-24,249,100,"10,647",42.76,106.47
2015-06-25,260,111,"8,118",31.22,73.14
2015-06-26,297,118,"9,184",30.92,77.83
2015-06-27,321,127,"9,535",29.70,75.08
2015-06-28,154,61,"6,519",42.33,106.86
2015-06-29,222,88,"9,321",41.99,105.92
2015-06-30,177,76,"7,420",41.92,97.64
2015-07-01,163,60,"6,808",41.76,113.46
2015-07-02,222,85,"8,364",37.67,98.40
2015-07-03,211,84,"8,695",41.21,103.52
2015-07-04,188,78,"8,107",43.12,103.94
2015-07-05,187,78,"6,567",35.12,84.19
2015-07-06,251,95,"10,434",41.57,109.83
2015-07-07,291,113,"12,193",41.90,107.90
2015-07-08,290,117,"12,808",44.17,109.47
2015-07-09,292,116,"11,666",39.95,100.57
2015-07-10,249,95,"8,597",34.53,90.50
2015-07-11,198,83,"8,595",43.41,103.56
2015-07-12,355,150,"14,808",41.71,98.72
2015-07-13,442,161,"17,620",39.86,109.44
2015-07-14,391,164,"16,398",41.94,99.99
2015-07-15,400,163,"16,272",40.68,99.83
2015-07-16,324,138,"14,433",44.55,104.59
2015-07-17,356,145,"14,278",40.11,98.47
2015-07-18,264,113,"11,261",42.66,99.66
2015-07-19,361,135,"15,730",43.57,116.52
2015-07-20,304,128,"14,480",47.63,113.12
2015-07-21,350,146,"14,847",42.42,101.69
2015-07-22,338,148,"12,958",38.34,87.55
2015-07-23,311,124,"11,306",36.35,91.18
2015-07-24,322,137,"13,710",42.58,100.07
2015-07-25,279,116,"11,117",39.85,95.83
2015-07-26,292,115,"12,515",42.86,108.83
2015-07-27,425,170,"15,637",36.79,91.98
2015-07-28,487,198,"16,296",33.46,82.30
2015-07-29,393,161,"15,995",40.70,99.35
2015-07-30,370,139,"16,012",43.28,115.19
2015-07-31,372,151,"13,317",35.80,88.19
2015-08-01,387,149,"14,827",38.31,99.51
2015-08-02,398,162,"15,544",39.05,95.95
2015-08-03,546,224,"19,933",36.51,88.99
2015-08-04,634,258,"21,689",34.21,84.07
2015-08-05,584,240,"18,398",31.50,76.66
2015-08-06,537,222,"20,708",38.56,93.28
2015-08-07,495,212,"18,274",36.92,86.20
