Date,Daily_Items_Sold,Total_Daily_Value,Avg_Item_Value_GBP,Avg_Trans_Value_GBP
2014-03-22,302,"14,831",49.11,112.36
2014-03-23,485,"23,473",48.4,115.63
2014-03-24,398,"17,938",45.07,106.14
2014-03-25,396,"17,744",44.81,101.39
2014-03-26,406,"18,978",46.74,110.34
2014-03-27,329,"15,131",45.99,109.65
2014-03-28,351,"15,497",44.15,104.01
2014-03-29,313,"15,045",48.07,109.82
2014-03-30,388,"18,649",48.06,119.54
2014-03-31,371,"17,014",45.86,109.77
2014-04-01,343,"15,336",44.71,107.25
2014-04-02,317,"14,936",47.12,111.46
2014-04-03,275,"12,443",45.25,102.83
2014-04-04,328,"14,899",45.42,108.75
2014-04-05,274,"14,105",51.48,118.53
2014-04-06,391,"19,200",49.11,123.08
2014-04-07,385,"17,733",46.06,105.55
2014-04-08,383,"17,692",46.19,114.14
2014-04-09,370,"17,321",46.81,106.92
2014-04-10,302,"14,066",46.57,106.56
2014-04-11,265,"12,662",47.78,115.11
2014-04-12,254,"11,183",44.03,100.75
2014-04-13,291,"14,244",48.95,114.87
2014-04-14,336,"16,743",49.83,108.72
2014-04-15,290,"13,481",46.49,98.4
2014-04-16,313,"14,958",47.79,115.06
2014-04-17,216,"9,194",42.57,95.78
2014-04-18,235,"10,390",44.21,93.6
2014-04-19,155,"7,069",45.6,93.01
2014-04-20,224,"9,963",44.48,102.72
2014-04-21,232,"11,814",50.92,111.45
2014-04-22,319,"14,606",45.79,105.08
2014-04-23,330,"16,229",49.18,111.93
2014-04-24,256,"11,978",46.79,111.95
2014-04-25,361,"16,616",46.03,102.57
2014-04-26,288,"13,446",46.69,109.32
2014-04-27,363,"16,523",45.52,110.15
2014-04-28,346,"15,998",46.24,108.09
2014-04-29,336,"16,608",49.43,109.26
2014-04-30,435,"19,501",44.83,104.29
2014-05-01,387,"18,056",46.66,107.48
2014-05-02,293,"14,977",51.11,117
2014-05-03,238,"11,234",47.2,104.99
2014-05-04,241,"9,738",40.41,91.87
2014-05-05,345,"15,478",44.87,108.24
2014-05-06,362,"16,946",46.81,105.26
2014-05-07,397,"17,187",43.29,101.1
2014-05-08,318,"14,154",44.51,103.31
2014-05-09,307,"12,849",41.86,98.09
2014-05-10,332,"14,084",42.42,99.88
2014-05-11,344,"14,583",42.39,99.2
2014-05-12,468,"22,048",47.11,110.24
2014-05-13,356,"15,745",44.23,101.58
2014-05-14,297,"13,676",46.05,106.01
2014-05-15,288,"13,079",45.41,104.63
2014-05-16,276,"12,786",46.33,104.81
2014-05-17,202,"9,439",46.73,112.37
2014-05-18,244,"10,272",42.1,103.76
2014-05-19,216,"8,862",41.03,96.32
2014-05-20,311,"13,437",43.21,95.98
2014-05-21,275,"12,128",44.1,96.25
2014-05-22,289,"12,638",43.73,105.32
2014-05-23,302,"12,631",41.83,97.92
2014-05-24,288,"11,571",40.18,91.83
2014-05-25,295,"14,247",48.29,113.98
2014-05-26,386,"18,006",46.65,104.69
2014-05-27,376,"17,653",46.95,103.84
2014-05-28,285,"13,004",45.63,105.72
2014-05-29,232,"10,309",44.43,112.05
2014-05-30,237,"10,286",43.4,98.9
2014-05-31,199,"10,219",51.35,112.3
2014-06-01,227,"11,166",49.19,115.11
2014-06-02,238,"10,371",43.57,96.02
2014-06-03,218,"10,572",48.5,112.47
2014-06-04,151,"6,502",43.06,98.52
2014-06-05,159,"7,182",45.17,97.06
2014-06-06,147,"5,525",37.58,81.25
2014-06-07,160,"6,990",43.69,94.46
2014-06-08,139,"6,212",44.69,105.3
2014-06-09,162,"6,030",37.22,90
2014-06-10,185,"8,698",47.01,103.54
2014-06-11,156,"7,603",48.74,105.6
2014-06-12,199,"9,317",46.82,116.46
2014-06-13,201,"8,975",44.65,101.99
2014-06-14,202,"9,583",47.44,115.46
2014-06-15,240,"10,563",44.01,108.9
2014-06-16,233,"9,760",41.89,98.58
2014-06-17,243,"10,788",44.4,103.73
2014-06-18,204,"8,685",42.57,100.99
2014-06-19,262,"10,634",40.59,85.07
2014-06-20,264,"12,914",48.92,104.99
2014-06-21,242,"12,333",50.96,112.12
2014-06-22,245,"11,319",46.2,101.97
2014-06-23,257,"11,304",43.98,100.03
2014-06-24,288,"12,502",43.41,105.06
2014-06-25,221,"9,969",45.11,98.71
2014-06-26,262,"11,270",43.02,104.35
2014-06-27,238,"10,830",45.5,99.36
2014-06-28,227,"10,825",47.69,113.95
2014-06-29,318,"14,596",45.9,117.71
2014-06-30,366,"17,012",46.48,109.05
2014-07-01,252,"10,571",41.95,98.79
2014-07-02,196,"7,962",40.62,86.54
2014-07-03,186,"7,763",41.74,93.53
2014-07-04,200,"8,745",43.73,98.26
2014-07-05,259,"12,153",46.92,122.76
2014-07-06,290,"13,303",45.87,110.86
2014-07-07,274,"12,485",45.57,108.57
2014-07-08,225,"11,014",48.95,115.93
2014-07-09,213,"10,462",49.12,114.97
2014-07-10,255,"10,537",41.32,94.08
2014-07-11,194,"9,027",46.53,101.42
2014-07-12,192,"8,648",45.04,105.46
2014-07-13,235,"11,581",49.28,105.29
2014-07-14,252,"11,085",43.99,100.78
2014-07-15,280,"11,831",42.25,100.26
2014-07-16,225,"10,474",46.55,105.79
2014-07-17,200,"8,227",41.13,92.43
2014-07-18,213,"8,004",37.58,88.93
2014-07-19,231,"10,302",44.6,110.78
2014-07-20,256,"10,430",40.74,104.3
2014-07-21,269,"11,971",44.5,106.89
2014-07-22,350,"14,097",40.28,95.9
2014-07-23,399,"17,054",42.74,102.74
2014-07-24,305,"13,336",43.72,108.42
2014-07-25,329,"14,573",44.29,101.2
2014-07-26,206,"8,838",42.9,98.2
2014-07-27,236,"10,859",46.01,114.31
2014-07-28,293,"12,709",43.37,106.8
2014-07-29,241,"9,919",41.16,94.47
2014-07-30,313,"14,154",45.22,111.45
2014-07-31,260,"10,025",38.56,91.14
2014-08-01,259,"12,080",46.64,117.28
2014-08-02,232,"10,307",44.43,105.17
2014-08-03,243,"10,156",41.8,100.56
2014-08-04,359,"14,957",41.66,102.44
2014-08-05,310,"13,087",42.22,99.9
2014-08-06,352,"15,479",43.97,103.89
2014-08-07,203,"8,852",43.6,109.28
2014-08-08,160,"7,168",44.8,105.41
2014-08-09,161,"6,414",39.84,94.33
2014-08-10,226,"9,442",41.78,111.09
2014-08-11,254,"11,562",45.52,101.42
2014-08-12,243,"10,436",42.95,102.31
2014-08-13,198,"8,362",42.23,99.55
2014-08-14,215,"9,791",45.54,113.85
2014-08-15,183,"7,058",38.57,89.35
2014-08-16,176,"7,465",42.42,103.68
2014-08-17,254,"9,964",39.23,99.64
2014-08-18,265,"10,468",39.5,99.7
2014-08-19,289,"11,946",41.34,98.73
2014-08-20,198,"8,740",44.14,104.04
2014-08-21,241,"8,507",35.3,87.7
2014-08-22,223,"9,501",42.6,101.07
2014-08-23,164,"6,560",40,93.71
2014-08-24,136,"5,335",39.23,88.92
2014-08-25,243,"10,492",43.18,114.04
2014-08-26,268,"11,881",44.33,108.01
2014-08-27,228,"8,887",38.98,97.66
2014-08-28,251,"11,143",44.39,105.12
2014-08-29,243,"10,767",44.31,102.54
2014-08-30,158,"7,093",44.89,99.9
2014-08-31,198,"8,865",44.77,123.12
2014-09-01,235,"9,930",42.25,100.3
2014-09-02,259,"11,161",43.09,111.61
2014-09-03,179,"7,375",41.2,91.05
2014-09-04,183,"7,975",43.58,109.24
2014-09-05,142,"5,626",39.62,87.9
2014-09-06,169,"7,517",44.48,104.4
2014-09-07,156,"6,570",42.11,104.28
2014-09-08,161,"7,315",45.43,107.57
2014-09-09,187,"9,019",48.23,118.68
2014-09-10,122,"5,427",44.48,104.36
2014-09-11,165,"7,278",44.11,108.63
2014-09-12,177,"7,091",40.06,94.55
2014-09-13,142,"5,797",40.83,98.26
2014-09-14,203,"8,876",43.72,110.94
2014-09-15,169,"8,249",48.81,119.54
2014-09-16,246,"10,525",42.78,106.31
2014-09-17,190,"7,997",42.09,96.34
2014-09-18,148,"6,469",43.71,104.34
2014-09-19,147,"6,902",46.95,104.58
2014-09-20,151,"7,174",47.51,121.6
2014-09-21,170,"7,857",46.22,113.86
2014-09-22,158,"7,844",49.64,112.05
2014-09-23,166,"7,316",44.07,106.03
2014-09-24,200,"9,181",45.91,106.76
2014-09-25,201,"9,853",49.02,131.37
2014-09-26,205,"8,270",40.34,97.29
2014-09-27,240,"9,836",40.98,102.46
2014-09-28,278,"12,978",46.68,110.92
2014-09-29,298,"13,878",46.57,112.83
2014-09-30,351,"14,494",41.29,102.07
2014-10-01,299,"13,521",45.22,112.68
2014-10-02,312,"14,400",46.16,116.13
2014-10-03,219,"10,738",49.03,119.31
2014-10-04,210,"9,375",44.64,105.33
2014-10-05,401,"19,124",47.69,127.49
2014-10-06,331,"14,817",44.76,116.67
2014-10-07,253,"10,505",41.52,107.2
2014-10-08,259,"11,238",43.39,107.03
2014-10-09,271,"10,577",39.03,100.74
2014-10-10,310,"13,918",44.9,115.98
2014-10-11,273,"11,116",40.72,110.06
2014-10-12,359,"15,646",43.58,105.72
2014-10-13,431,"18,600",43.16,110.06
2014-10-14,386,"17,077",44.24,112.35
2014-10-15,357,"15,554",43.57,107.27
2014-10-16,337,"13,082",38.82,103.01
2014-10-17,342,"14,110",41.26,94.06
2014-10-18,309,"13,897",44.98,111.18
2014-10-19,417,"16,494",39.55,100.57
2014-10-20,363,"15,170",41.79,106.08
2014-10-21,421,"17,945",42.62,103.73
2014-10-22,358,"15,211",42.49,103.48
2014-10-23,360,"15,924",44.23,106.87
2014-10-24,421,"18,747",44.53,107.74
2014-10-25,409,"19,763",48.32,127.51
2014-10-26,452,"20,045",44.35,115.87
2014-10-27,485,"21,014",43.33,105.07
2014-10-28,422,"18,874",44.73,107.85
2014-10-29,495,"22,032",44.51,116.57
2014-10-30,398,"17,578",44.16,112.68
2014-10-31,370,"16,882",45.63,107.53
2014-11-01,351,"16,367",46.63,109.11
2014-11-02,541,"23,826",44.04,116.22
2014-11-03,400,"16,711",41.78,102.52
2014-11-04,376,"15,284",40.65,108.4
2014-11-05,309,"14,005",45.33,106.91
2014-11-06,437,"19,707",45.1,120.9
2014-11-07,362,"16,155",44.63,107.7
2014-11-08,341,"14,935",43.8,103.71
2014-11-09,326,"14,331",43.96,99.52
2014-11-10,430,"17,706",41.18,107.97
2014-11-11,444,"19,357",43.6,113.2
2014-11-12,397,"17,049",42.94,99.7
2014-11-13,333,"15,267",45.85,108.27
2014-11-14,502,"22,624",45.07,117.22
2014-11-15,334,"15,758",47.18,120.29
2014-11-16,461,"19,689",42.71,110.61
2014-11-17,500,"23,262",46.52,117.49
2014-11-18,326,"14,402",44.18,101.42
2014-11-19,349,"14,653",41.99,103.19
2014-11-20,305,"13,764",45.13,106.69
2014-11-21,246,"9,783",39.77,94.98
2014-11-22,290,"12,081",41.66,103.26
2014-11-23,345,"16,607",48.14,110.72
2014-11-24,432,"19,328",44.74,108.58
2014-11-25,447,"21,286",47.62,108.6
2014-11-26,421,"18,017",42.79,97.92
2014-11-27,492,"21,737",44.18,109.78
2014-11-28,682,"29,510",43.27,100.72
2014-11-29,536,"24,271",45.28,109.33
2014-11-30,686,"30,255",44.1,108.83
2014-12-01,754,"31,135",41.29,102.75
2014-12-02,511,"22,932",44.88,109.72
2014-12-03,542,"24,671",45.52,110.63
2014-12-04,427,"19,223",45.02,105.62
2014-12-05,366,"15,730",42.98,103.48
2014-12-06,329,"14,500",44.07,107.41
2014-12-07,507,"22,450",44.28,106.91
2014-12-08,574,"26,574",46.3,112.6
2014-12-09,494,"22,409",45.36,107.22
2014-12-10,505,"22,411",44.38,106.21
2014-12-11,360,"17,377",48.27,115.08
2014-12-12,385,"17,996",46.74,111.78
2014-12-13,325,"14,247",43.84,104.76
2014-12-14,417,"17,588",42.18,101.67
2014-12-15,520,"22,835",43.91,101.49
2014-12-16,463,"20,388",44.03,104.02
2014-12-17,483,"21,251",44,107.33
2014-12-18,424,"19,597",46.22,104.24
2014-12-19,519,"23,698",45.66,108.71
2014-12-20,439,"19,248",43.85,105.76
2014-12-21,447,"20,166",45.12,107.84
2014-12-22,469,"20,472",43.65,101.85
2014-12-23,472,"23,076",48.89,114.24
2014-12-24,480,"22,014",45.86,108.44
2014-12-25,178,"8,255",46.38,107.21
2014-12-26,272,"12,486",45.9,109.53
2014-12-27,202,"8,222",40.7,92.38
2014-12-28,297,"14,228",47.9,113.82
2014-12-29,286,"12,885",45.05,104.75
2014-12-30,325,"13,705",42.17,99.31
2014-12-31,258,"11,782",45.67,109.09
2015-01-01,368,"19,191",52.15,128.8
2015-01-02,349,"15,044",43.11,98.33
2015-01-03,359,"17,489",48.72,125.82
2015-01-04,413,"18,974",45.94,113.62
2015-01-05,430,"19,715",45.85,120.95
2015-01-06,435,"20,442",46.99,114.84
2015-01-07,462,"23,409",50.67,120.05
2015-01-08,470,"23,385",49.76,123.08
2015-01-09,344,"15,722",45.7,108.43
2015-01-10,401,"20,550",51.25,133.44
2015-01-11,502,"23,561",46.93,123.35
2015-01-12,386,"19,933",51.64,120.81
2015-01-13,379,"19,080",50.34,128.06
2015-01-14,368,"16,228",44.1,112.69
2015-01-15,318,"15,293",48.09,122.35
2015-01-16,287,"13,960",48.64,119.31
2015-01-17,293,"13,959",47.64,116.32
2015-01-18,380,"17,131",45.08,114.97
2015-01-19,391,"16,705",42.72,110.63
2015-01-20,306,"13,211",43.17,103.21
2015-01-21,363,"16,036",44.18,113.73
2015-01-22,318,"13,877",43.64,109.26
2015-01-23,289,"13,416",46.42,110.87
2015-01-24,389,"16,943",43.56,105.89
2015-01-25,411,"18,849",45.86,120.83
2015-01-26,551,"23,463",42.58,106.65
2015-01-27,449,"19,553",43.55,102.91
2015-01-28,449,"19,616",43.69,103.24
2015-01-29,397,"18,391",46.33,112.83
2015-01-30,459,"20,528",44.72,111.56
2015-01-31,452,"21,739",48.1,120.77
2015-02-01,543,"23,389",43.07,107.78
2015-02-02,546,"24,386",44.66,113.42
2015-02-03,436,"19,445",44.6,111.76
2015-02-04,469,"21,113",45.02,114.13
2015-02-05,398,"17,293",43.45,106.75
2015-02-06,328,"14,988",45.7,112.69
2015-02-07,372,"17,663",47.48,119.35
2015-02-08,481,"21,506",44.71,116.88
2015-02-09,489,"22,925",46.88,122.59
2015-02-10,418,"19,455",46.54,112.46
2015-02-11,384,"17,758",46.25,104.46
2015-02-12,443,"19,556",44.14,108.04
2015-02-13,381,"17,952",47.12,106.86
2015-02-14,342,"16,045",46.91,114.61
2015-02-15,393,"17,310",44.05,111.68
2015-02-16,481,"23,667",49.2,132.22
2015-02-17,410,"19,594",47.79,113.26
2015-02-18,603,"29,767",49.36,117.65
2015-02-19,508,"24,303",47.84,113.04
2015-02-20,503,"24,311",48.33,113.08
2015-02-21,369,"18,949",51.35,125.49
2015-02-22,423,"20,712",48.96,119.03
2015-02-23,378,"17,151",45.37,103.32
2015-02-24,330,"15,074",45.68,105.41
2015-02-25,349,"17,051",48.86,122.67
2015-02-26,282,"12,398",43.96,106.88
2015-02-27,300,"14,954",49.85,125.67
2015-02-28,358,"16,637",46.47,124.15
2015-03-01,338,"17,271",51.1,124.25
2015-03-02,389,"18,032",46.36,117.09
2015-03-03,343,"16,674",48.61,114.21
2015-03-04,286,"13,243",46.3,117.2
2015-03-05,274,"12,566",45.86,117.44
2015-03-06,278,"12,514",45.01,111.73
2015-03-07,312,"13,520",43.33,96.57
2015-03-08,398,"18,336",46.07,119.84
2015-03-09,384,"16,297",42.44,101.86
2015-03-10,328,"14,348",43.74,112.97
2015-03-11,399,"19,451",48.75,127.13
2015-03-12,274,"12,576",45.9,111.29
2015-03-13,265,"10,808",40.79,103.93
2015-03-14,295,"12,524",42.45,106.13
2015-03-15,312,"13,519",43.33,117.56
2015-03-16,313,"13,058",41.72,109.73
2015-03-17,266,"12,733",47.87,119
2015-03-18,276,"12,194",44.18,108.88
2015-03-19,217,"9,731",44.84,109.34
2015-03-20,317,"13,267",41.85,107.86
2015-03-21,319,"15,869",49.74,124.95
2015-03-22,279,"13,932",49.94,122.21
2015-03-23,312,"14,133",45.3,111.28
2015-03-24,361,"15,701",43.49,111.35
2015-03-25,282,"12,053",42.74,102.14
2015-03-26,249,"11,026",44.28,109.16
2015-03-27,269,"12,417",46.16,116.05
2015-03-28,351,"16,859",48.03,123.06
2015-03-29,368,"16,199",44.02,110.2
2015-03-30,349,"15,658",44.86,107.98
2015-03-31,294,"12,950",44.05,106.15
2015-04-01,294,"13,313",45.28,112.82
2015-04-02,258,"11,539",44.72,99.47
2015-04-03,321,"16,232",50.57,128.83
2015-04-04,280,"12,044",43.01,112.56
2015-04-05,227,"10,156",44.74,109.2
2015-04-06,208,"10,303",49.53,127.19
2015-04-07,252,"11,838",46.98,123.32
2015-04-08,262,"12,477",47.62,122.32
2015-04-09,203,"8,727",42.99,95.9
2015-04-10,224,"10,845",48.42,117.88
2015-04-11,201,"9,586",47.69,114.12
2015-04-12,204,"10,370",50.83,123.45
2015-04-13,210,"9,277",44.18,100.84
2015-04-14,195,"8,425",43.21,97.97
2015-04-15,177,"8,876",50.14,115.27
2015-04-16,183,"8,505",46.47,116.5
2015-04-17,782,"40,133",51.32,110.56
2015-04-18,388,"22,912",59.05,140.56
2015-04-19,365,"19,572",53.62,137.83
2015-04-20,326,"17,204",52.77,122.89
2015-04-21,251,"12,632",50.33,118.05
2015-04-22,183,"8,790",48.03,107.2
2015-04-23,258,"11,640",45.12,108.78
2015-04-24,374,"18,898",50.53,115.94
2015-04-25,300,"15,362",51.21,116.38
2015-04-26,330,"16,654",50.47,121.57
2015-04-27,284,"12,505",44.03,106.88
2015-04-28,312,"15,011",48.11,110.37
2015-04-29,303,"13,614",44.93,99.37
2015-04-30,265,"11,796",44.51,117.96
2015-05-01,256,"11,421",44.61,107.74
2015-05-02,187,"9,126",48.8,111.29
2015-05-03,229,"10,889",47.55,109.99
2015-05-04,241,"9,054",37.57,83.07
2015-05-05,256,"11,231",43.87,105.95
2015-05-06,249,"10,840",43.53,101.31
2015-05-07,212,"9,115",43,102.42
2015-05-08,212,"10,584",49.92,117.6
2015-05-09,276,"12,714",46.06,116.64
2015-05-10,236,"10,230",43.35,111.2
2015-05-11,301,"13,300",44.18,103.9
2015-05-12,408,"17,790",43.6,114.04
2015-05-13,262,"11,354",43.34,112.42
2015-05-14,234,"11,030",47.14,111.42
2015-05-15,212,"10,159",47.92,114.15
2015-05-16,200,"8,280",41.4,100.97
2015-05-17,227,"10,021",44.14,117.89
2015-05-18,294,"13,588",46.22,111.37
2015-05-19,251,"11,718",46.68,114.88
2015-05-20,257,"9,860",38.37,93.02
2015-05-21,206,"9,424",45.75,108.32
2015-05-22,198,"8,694",43.91,104.74
2015-05-23,237,"8,293",34.99,86.39
2015-05-24,211,"7,326",34.72,85.19
2015-05-25,306,"10,976",35.87,98
2015-05-26,263,"11,105",42.22,103.79
2015-05-27,285,"11,904",41.77,111.25
2015-05-28,291,"11,339",38.97,92.94
2015-05-29,372,"13,524",36.36,92
2015-05-30,282,"9,412",33.38,87.15
2015-05-31,340,"14,082",41.42,99.17
2015-06-01,500,"17,922",35.84,89.16
2015-06-02,408,"14,521",35.59,91.33
2015-06-03,298,"11,041",37.05,92.78
2015-06-04,249,"9,029",36.26,91.2
2015-06-05,245,"8,973",36.62,88.84
2015-06-06,265,"9,575",36.13,87.85
2015-06-07,204,"8,128",39.84,102.88
2015-06-08,382,"16,068",42.06,107.12
2015-06-09,302,"10,906",36.11,87.25
2015-06-10,299,"11,785",39.41,95.81
2015-06-11,267,"10,570",39.59,100.66
2015-06-12,257,"9,719",37.82,94.36
2015-06-13,260,"10,271",39.51,93.38
2015-06-14,423,"14,001",33.1,96.56
2015-06-15,308,"10,432",33.87,86.21
2015-06-16,238,"9,834",41.32,103.51
2015-06-17,293,"11,605",39.61,95.91
2015-06-18,290,"10,580",36.48,91.2
2015-06-19,326,"12,939",39.69,98.02
2015-06-20,260,"11,980",46.08,108.91
2015-06-21,249,"9,141",36.71,91.41
2015-06-22,322,"11,618",36.08,99.3
2015-06-23,199,"8,573",43.08,108.52
2015-06-24,249,"10,647",42.76,106.47
2015-06-25,260,"8,118",31.22,73.14
2015-06-26,297,"9,184",30.92,77.83
2015-06-27,321,"9,535",29.7,75.08
2015-06-28,154,"6,519",42.33,106.86
2015-06-29,222,"9,321",41.99,105.92
2015-06-30,177,"7,420",41.92,97.64
2015-07-01,163,"6,808",41.76,113.46
2015-07-02,222,"8,364",37.67,98.4
2015-07-03,211,"8,695",41.21,103.52
2015-07-04,188,"8,107",43.12,103.94
2015-07-05,187,"6,567",35.12,84.19
2015-07-06,251,"10,434",41.57,109.83
2015-07-07,291,"12,193",41.9,107.9
2015-07-08,290,"12,808",44.17,109.47
2015-07-09,292,"11,666",39.95,100.57
2015-07-10,249,"8,597",34.53,90.5
2015-07-11,198,"8,595",43.41,103.56
2015-07-12,355,"14,808",41.71,98.72
2015-07-13,442,"17,620",39.86,109.44
2015-07-14,391,"16,398",41.94,99.99
2015-07-15,400,"16,272",40.68,99.83
2015-07-16,324,"14,433",44.55,104.59
2015-07-17,356,"14,278",40.11,98.47
2015-07-18,264,"11,261",42.66,99.66
2015-07-19,361,"15,730",43.57,116.52
2015-07-20,304,"14,480",47.63,113.12
2015-07-21,350,"14,847",42.42,101.69
2015-07-22,338,"12,958",38.34,87.55
2015-07-23,311,"11,306",36.35,91.18
2015-07-24,322,"13,710",42.58,100.07
2015-07-25,279,"11,117",39.85,95.83
2015-07-26,292,"12,515",42.86,108.83
2015-07-27,425,"15,637",36.79,91.98
2015-07-28,487,"16,296",33.46,82.3
2015-07-29,393,"15,995",40.7,99.35
2015-07-30,370,"16,012",43.28,115.19
2015-07-31,372,"13,317",35.8,88.19
2015-08-01,387,"14,827",38.31,99.51
2015-08-02,398,"15,544",39.05,95.95
2015-08-03,546,"19,933",36.51,88.99
2015-08-04,634,"21,689",34.21,84.07
2015-08-05,584,"18,398",31.5,76.66
2015-08-06,537,"20,708",38.56,93.28
2015-08-07,495,"18,274",36.92,86.2
2015-08-08,523,"18,631",35.62,89.14
2015-08-09,522,"19,454",37.27,91.76
2015-08-10,774,"27,478",35.5,85.33
2015-08-11,627,"21,510",34.31,83.05
2015-08-12,604,"21,022",34.8,82.76
2015-08-13,491,"17,577",35.8,85.32
2015-08-14,589,"21,042",35.72,84.51
2015-08-15,395,"14,054",35.58,81.71
2015-08-16,605,"18,884",31.21,76.14
2015-08-17,536,"18,187",33.93,86.19
2015-08-18,493,"18,474",37.47,90.12
2015-08-19,536,"20,562",38.36,90.58
2015-08-20,508,"20,823",40.99,99.63
2015-08-21,436,"18,727",42.95,105.21
2015-08-22,336,"12,559",37.38,93.03
2015-08-23,544,"22,366",41.11,108.58
2015-08-24,572,"19,648",34.35,86.18
2015-08-25,612,"23,821",38.92,100.51
2015-08-26,573,"21,115",36.85,90.23
2015-08-27,429,"17,651",41.15,100.86
2015-08-28,488,"21,739",44.55,113.23
2015-08-29,398,"16,314",40.99,101.33
2015-08-30,321,"14,453",45.03,106.28
2015-08-31,530,"25,316",47.77,120.55
2015-09-01,432,"17,889",41.41,104.62
2015-09-02,569,"24,610",43.25,110.86
2015-09-03,390,"17,653",45.26,103.84
2015-09-04,414,"19,268",46.54,110.1
2015-09-05,467,"24,234",51.89,129.59
2015-09-06,492,"24,560",49.92,133.48
2015-09-07,531,"27,487",51.76,126.09
2015-09-08,590,"28,198",47.79,116.52
2015-09-09,523,"28,377",54.26,128.99
2015-09-10,227,"11,363",50.06,122.18
2015-09-11,376,"18,536",49.3,111.66
2015-09-12,373,"18,783",50.36,118.88
2015-09-13,518,"25,939",50.08,131.67
2015-09-14,559,"29,065",52,132.12
2015-09-15,565,"33,329",58.99,144.28
2015-09-16,561,"30,429",54.24,127.85
2015-09-17,496,"27,246",54.93,139.01
2015-09-18,337,"17,659",52.4,133.78
2015-09-19,338,"18,134",53.65,124.2
2015-09-20,490,"24,095",49.17,132.39
2015-09-21,471,"21,813",46.31,119.85
2015-09-22,445,"20,903",46.97,115.48
2015-09-23,438,"20,696",47.25,115.62
2015-09-24,447,"20,289",45.39,112.72
2015-09-25,457,"23,965",52.44,127.48
2015-09-26,391,"18,985",48.55,120.92
2015-09-27,481,"23,231",48.3,124.23
2015-09-28,580,"27,974",48.23,116.08
