Title,Theme,Segment,Email Feature Type ,Subject,List,Send Date & Time,Send Date,Send Time,Send Time (Hour),Send Weekday,Total Recipients,Successful Deliveries,Soft Bounces,Hard Bounces,Total Bounces,Times Forwarded,Forwarded Opens,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Abuse Complaints,Bounce Rate,Unsubscribe Rate
Fanny Girl Booking Extension,Extension,Musicals,Multi-show,Funny Girl has been extended - If you want to see Sheridan book soon to secure the best seats!,(Do not use) FromTheBoxOffice Subscribers,Feb 10 2016 11:16 am,"Feb 10, 2016 ",11:16:00,11:00:00 AM,Wednesday,80995,80886,93,16,109,0,0,13855,17.13%,21321,634,0.78%,990,109,9,33.38%,17.19242902
Valantines last minute,Offer,All,Multi-show,Theatre Shows for under Ã‚Â£15 - Book Big Shows With Little Prices!,(Do not use) FromTheBoxOffice Subscribers,Feb 16 2016 03:21 pm,"Feb 16, 2016 ",15:21:00,3:00:00 PM,Tuesday,83571,83464,38,69,107,0,0,15566,18.65%,23722,1121,1.34%,3129,94,20,39.79%,8.385370205
SHowboat on sale,Offer,Musicals,Solus,"The sensational Musical Showboat is back in London! Grab tickets with our previews offer, Book Now!",(Do not use) FromTheBoxOffice Subscribers,Feb 18 2016 11:00 am,"Feb 18, 2016 ",11:00:00,11:00:00 AM,Thursday,83415,83321,77,17,94,0,0,14957,17.95%,21976,785,0.94%,1147,136,15,50.33%,17.32484076
"Sunset, Painkiller, Aladdin, Hangmen, BILB, Billy, As You LIke It, Chris, Stanley",Opening Soon,All,Multi-show,"Opening & closing West End shows: Hangmen, Chris Ramsey, Sunset Boulevard - The best time to book is now!",(Do not use) FromTheBoxOffice Subscribers,Feb 26 2016 10:13 am,"Feb 26, 2016 ",10:13:00,10:00:00 AM,Friday,83213,83112,79,22,101,0,0,12155,14.62%,17701,910,1.09%,3729,110,17,34.99%,12.08791209
"Sideways, Other Half Loves, Faustus, 1st World War, Goosebumps",Offer,All,Multi-show,"New On Sale Today: Sideways, The Play. Plus Dr Faustus cast announced, How The Other Half Loves offer & more - Book now for the best seats!",(Do not use) FromTheBoxOffice Subscribers,Mar 01 2016 11:45 am,"Mar 01, 2016 ",11:45:00,12:00:00 PM,Tuesday,83060,83005,46,9,55,0,0,14471,17.43%,19826,649,0.78%,2413,155,10,48.23%,23.88289676
"End Of Longing, Kinky Boots, Scarecrows, Charlie, Maids, Islington",Offer,All,Multi-show,"Flash Sale Ã°Å¸Å’Å¸Ã‚Â Matthew Perry's The End of Longing, Charlie & The Chocolate Factory, Kinky Boots & more. Book now!",(Do not use) FromTheBoxOffice Subscribers,Mar 04 2016 01:57 pm,"Mar 04, 2016 ",13:57:00,2:00:00 PM,Friday,87126,87046,56,24,80,0,0,15683,18.02%,23389,1194,1.37%,1734,147,10,31.84%,12.31155779
"Hand To God, Wicked, Motown, Nina",Offer,All,Multi-show,"Flash OfferÃ‚Â Ã°Å¸Å’Å¸Ã‚Â Hand To God, Wicked No Fees Offer & more. Book Now!",(Do not use) FromTheBoxOffice Subscribers,Mar 09 2016 10:36 am,"Mar 09, 2016 ",10:36:00,11:00:00 AM,Wednesday,86943,86836,84,23,107,0,0,14762,17.00%,20546,918,1.06%,1324,136,24,35.53%,14.81481481
"No Man's Land, Caretaker, Maids, Bad Jews, Tango",New On-Sale,All,Multi-show,"New On Sale Today Ã¢Å“Â¨Ã‚Â Patrick Stewart & Ian McKellen In No Man's Land, Book Now!",(Do not use) FromTheBoxOffice Subscribers,Mar 11 2016 12:25 pm,"Mar 11, 2016 ",12:25:00,12:00:00 PM,Friday,86779,86727,45,7,52,0,0,14356,16.55%,22117,1218,1.40%,2024,109,4,31.31%,8.94909688
"Go-Between, Entertainer, Madame Butterfly, Maids, Ali, Sunken Cities",New On-Sale,Musicals,Multi-show,Michael Crawford in The Go-Between & John Hurt in The Entertainer Ã°Å¸â€™Â«PlusÃ‚Â Muhammad Ali & The British Museum Exhibitions now on sale!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Mar 15 2016 04:38 pm,"Mar 15, 2016 ",16:38:00,5:00:00 PM,Tuesday,86650,86581,57,12,69,0,0,15882,18.34%,23349,964,1.11%,1475,94,17,38.50%,9.751037344
Motown Solus,Full-price,Musicals,Solus,Book Motown Tickets Now!Ã‚Â Ã°Å¸Å_Â¶Ã‚Â Dancing In The StreetÃ‚Â Ã°Å¸Å_Â¶Ã‚Â AinÃ¢â‚¬â„¢t No Mountain High Enough,(Do not use) FromTheBoxOffice Subscribers,Mar 18 2016 09:00 am,"Mar 18, 2016 ",09:00:00,9:00:00 AM,Friday,86529,86476,43,10,53,0,0,15109,17.47%,24081,1454,1.68%,2415,121,9,40.58%,8.321870702
Jersey Boys Flash Offer,Offer,Musicals,Multi-show,Jersey Boys Flash OfferÃ‚Â Ã¢Å¡Â¡Ã‚Â Weekend tickets from only Ã‚Â£25 - Oh What A Night!,(Do not use) FromTheBoxOffice Subscribers,Mar 23 2016 05:35 pm,"Mar 23, 2016 ",17:35:00,6:00:00 PM,Wednesday,86385,86314,45,26,71,1,1,15843,18.36%,22675,958,1.11%,2124,103,13,24.40%,10.75156576
Easter Half-term,Full-price,All,Multi-show,"Easter Holidays are here, let's take the kids to the theatre! Ã°Å¸ËœÆ’Ã‚Â Here's a selection of shows for the whole family.",(Do not use) FromTheBoxOffice Subscribers,Mar 24 2016 03:01 pm,"Mar 24, 2016 ",15:01:00,3:00:00 PM,Thursday,86280,86232,35,13,48,0,0,11700,13.57%,16470,691,0.80%,1055,80,12,29.22%,11.57742402
"The Maids Flash, People Places, Seal, Mika, Joe Bonamassa",Offer,All,Multi-show,"Book THE MAIDS with 53% Off flash offerÃ¢Å¡Â¡ | People, Places & Things No Fees & Ã¢Ëœâ‚¬Greenwich Music Time.Ã¢Ëœâ‚¬",(Do not use) FromTheBoxOffice Subscribers,Apr 01 2016 12:35 pm,"Apr 01, 2016 ",12:35:00,1:00:00 PM,Friday,86146,86077,58,11,69,0,0,13697,15.91%,18616,422,0.49%,595,119,15,n/a,28.19905213
Olivier Award Winners,Full-price,All,Multi-show,"Book Olivier Award winners shows that are still live before it sells out! In The Heights, Kinky Boots & more.",(Do not use) FromTheBoxOffice Subscribers,Apr 04 2016 07:00 pm,"Apr 04, 2016 ",19:00:00,7:00:00 PM,Monday,86010,85968,29,13,42,0,0,15128,17.60%,24593,653,0.76%,2809,93,11,40.55%,14.24196018
"The Spoils On Sale, Show Boat First Perf, WOTW Last Chance, Dreamgirls",New On-Sale,Musicals,Multi-show,Book Jesse Eisenberg's new play at The Trafalgar Studios |Plus DREAMGRILS London | Show Boat Offer & more!,(Do not use) FromTheBoxOffice Subscribers,Apr 07 2016 04:24 pm,"Apr 07, 2016 ",16:24:00,4:00:00 PM,Thursday,85898,85855,34,9,43,0,0,14029,16.34%,19431,589,0.69%,2185,110,13,40.48%,18.67572156
End Of Longing Last Chance+,Closing Soon,Plays,Multi-show,"The End Of The End Of Longing - Final 4 Weeks! + Upgrade Offer & No Fees, Book Now!",(Do not use) FromTheBoxOffice Subscribers,Apr 14 2016 04:00 pm,"Apr 14, 2016 ",16:00:00,4:00:00 PM,Thursday,85758,85697,35,26,61,0,0,14594,17.03%,19401,241,0.28%,700,107,10,60.00%,44.39834025
Cinderella Palladium On Sale,New On-Sale,Musicals,Multi-show,Cinderella At The Palladium - Pantomime Is Coming Home Ã°Å¸â€˜Â - On Sale Now!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Apr 15 2016 01:10 pm,"Apr 15, 2016 ",13:10:00,1:00:00 PM,Friday,85644,85601,36,7,43,0,0,12171,14.22%,18079,630,0.74%,1069,66,8,40.54%,10.47619048
"Groundhog, Curious, Goosebumps",New On-Sale,Musicals,Multi-show,Groundhog Day The Musical On Sale Now! | Book BBC's In the Night Garden Live UK Tour & more!,(Do not use) FromTheBoxOffice Subscribers,Apr 19 2016 11:58 am,"Apr 19, 2016 ",11:58:00,12:00:00 PM,Tuesday,85532,85480,37,15,52,0,0,13197,15.44%,17639,524,0.61%,3745,111,11,53.33%,21.18320611
"AAIP, Mandela, Up & Down, This House",New On-Sale,Musicals,Multi-show,"New On Sale! Ã°Å¸Å’Å¸An American In Paris, Eifman Ballet & more!",(Do not use) FromTheBoxOffice Subscribers,Apr 22 2016 12:30 pm,"Apr 22, 2016 ",12:30:00,1:00:00 PM,Friday,85410,85285,87,38,125,0,0,11976,14.04%,15900,482,0.57%,1840,85,21,100.00%,17.63485477
RSC At The Haymarket on Sale,New On-Sale,Plays,Solus,The Royal Shakespeare Company @ The Haymarket - Reduced Prices Previews Available Now!Ã‚Â ,(Do not use) FromTheBoxOffice Subscribers,Apr 26 2016 11:55 am,"Apr 26, 2016 ",11:55:00,12:00:00 PM,Tuesday,85273,85219,45,9,54,0,0,15637,18.35%,23814,752,0.88%,2605,79,11,100.00%,10.50531915
Show Boat,Offer,Musicals,Solus,Show Boat Ã°Å¸Å¡Â¢No Booking Fee OfferÃ°Å¸Å¡Â¢Ã‚Â Can't Help Lovin' This Show!,(Do not use) FromTheBoxOffice Subscribers,Apr 28 2016 11:25 am,"Apr 28, 2016 ",11:25:00,11:00:00 AM,Thursday,85182,85121,53,8,61,0,0,13125,15.42%,18760,649,0.76%,1204,87,15,61.02%,13.40523883
"Doctor, Mother, Funny Girl, Bank Robbery",Offer,All,Multi-show,"Critic's choice: Doctor Faustus, My Mother Said with Maureen Lipman , The Comedy Of A Bank Robbery & Funny Girl - Book before they go!",(Do not use) FromTheBoxOffice Subscribers,May 01 2016 04:00 pm,"May 01, 2016 ",16:00:00,4:00:00 PM,Sunday,90126,90045,43,38,81,1,0,15346,17.04%,22276,644,0.72%,3179,105,18,100.00%,16.30434783
"The Spoils, The Hoods, Night Garden, Charing X season, Magic Hour",Offer,All,Multi-show,"Theatre Offers Ã°Å¸â€ùâ€ Pick Of The Week: The Spoils with Alfie Allen, The Raunch in Southbank, The New Charing Cross Season & much more!Ã°Å¸â€™Â«",(Do not use) FromTheBoxOffice Subscribers,May 06 2016 04:14 pm,"May 06, 2016 ",16:14:00,4:00:00 PM,Friday,89962,89899,44,19,63,0,0,13710,15.25%,18357,347,0.39%,2603,92,10,55.77%,26.5129683
"The Spoils, The Hoods, Night Garden, Charing X season, Magic Hour (copy 01)",Offer,All,Multi-show,"Theatre Offers Ã°Å¸â€ùâ€ Pick Of The Week: The Spoils with Alfie Allen, The Raunch in Southbank, The New Charing Cross Season & much more!Ã°Å¸â€™Â«",(Do not use) FromTheBoxOffice Subscribers,May 06 2016 04:30 pm,"May 06, 2016 ",16:30:00,5:00:00 PM,Friday,17328,17251,35,42,77,0,0,3653,21.18%,5276,114,0.66%,169,268,9,38.89%,235.0877193
Cinderella Palladium On Sale (copy 01),New On-Sale,Musicals,Multi-show,"Cinderella The Pantomime at the Palladium  Ã°Å¸â€˜Â Ã‚Â  On sale now, tickets from only Ã‚Â£24, Book Now!",(Do not use) FromTheBoxOffice Subscribers,May 09 2016 02:58 pm,"May 09, 2016 ",14:58:00,3:00:00 PM,Monday,41207,40629,174,404,578,0,0,11203,27.57%,17179,358,0.88%,572,769,36,37.07%,214.8044693
Beautiful Flash Offer,Offer,Musicals,Solus,Exclusive Offer | Beautiful - The Carole King Musical | Book by Saturday & Save Ã‚Â Up To 47%!,(Do not use) FromTheBoxOffice Subscribers,May 11 2016 06:17 pm,"May 11, 2016 ",18:17:00,6:00:00 PM,Wednesday,145988,145712,261,15,276,0,0,32282,22.15%,48986,1617,1.11%,2596,940,48,29.04%,58.13234385
Dreamgirls Exclusive Offer Targeted by Show,Offer,Musicals,Multi-show,Dreamgirls Exclusive Flash Offer - Book tickets today from only Ã‚Â£20!Ã‚Â Ã°Å¸ËœÂç,(Do not use) FromTheBoxOffice Subscribers,May 12 2016 05:36 pm,"May 12, 2016 ",17:36:00,6:00:00 PM,Thursday,23914,23825,89,0,89,0,0,10531,44.20%,15317,424,1.78%,1083,42,5,22.96%,9.905660377
Dreamgirls Exclusive Offer Targeted by Show (copy 01),Offer,Musicals,Multi-show,Dreamgirls Exclusive Flash Offer - Book tickets today from only Ã‚Â£20!Ã‚Â Ã°Å¸ËœÂç,(Do not use) FromTheBoxOffice Subscribers,May 13 2016 05:30 pm,"May 13, 2016 ",17:30:00,6:00:00 PM,Friday,62183,62154,20,9,29,0,0,4112,6.62%,5871,233,0.37%,289,50,4,27.01%,21.45922747
Mamma Mia 1st batch,Offer,Musicals,Multi-show,Book MAMMA MIA! by tomorrow & save 39%! Plus 58% Off The Merchants Of Bollywood | Matt Smith at The Royal Court & more!,(Do not use) FromTheBoxOffice Subscribers,May 16 2016 01:54 pm,"May 16, 2016 ",13:54:00,2:00:00 PM,Monday,82699,82463,227,9,236,0,0,25270,30.64%,36129,1544,1.87%,5637,603,48,35.09%,39.05440415
Mamma Mia 2nd batch extension,Offer,Musicals,Multi-show,Book MAMMA MIA! by Saturday & save 39%! | + The Spoils Offer | 58% Off The Merchants Of Bollywood | Matt Smith at The Royal Court & more!,(Do not use) FromTheBoxOffice Subscribers,May 19 2016 11:27 am,"May 19, 2016 ",11:27:00,11:00:00 AM,Thursday,62122,62084,29,9,38,0,0,4085,6.58%,6247,570,0.92%,799,62,11,26.94%,10.87719298
"Romeo, Shitfaced, Impossible, Whose line, Sheen,Bacharach, Tinga,  American Idiot, Titanic",Offer,All,Multi-show,Book Branagh's Romeo & Juliet Last Seats | Charlie Sheen live| 44% Off Whose Line Is It Anyway | 38 % Off Sh*t-faced Shakespeare & more!,(Do not use) FromTheBoxOffice Subscribers,May 22 2016 08:00 pm,"May 22, 2016 ",20:00:00,8:00:00 PM,Sunday,144063,143752,259,52,311,0,0,28293,19.68%,42451,1787,1.24%,5599,505,41,35.08%,28.25965305
"PPT, Truth",Closing Soon,All,Multi-show,"Only 4 weeks to see People, Places & Things + THE TRUTH booking now at the Wyndham's theatre - Book Now!",(Do not use) FromTheBoxOffice Subscribers,May 24 2016 11:38 am,"May 24, 2016 ",11:38:00,12:00:00 PM,Tuesday,103278,103020,227,31,258,0,0,7635,7.41%,10211,176,0.17%,270,274,27,28.40%,155.6818182
School Of Rock + The Dresser,New On-Sale,Musicals,Multi-show,New On Sale Today - The Dresser & School Of Rock Ã¢Å¡Â¡Ã‚Â Book Now!,(Do not use) FromTheBoxOffice Subscribers,May 25 2016 11:01 am,"May 25, 2016 ",11:01:00,11:00:00 AM,Wednesday,143218,142960,63,195,258,0,0,21888,15.31%,30201,807,0.56%,2226,533,45,44.75%,66.04708798
"Charlie, Lion King, Matilda, Stomp, caterpillar, In to the hoods",Offer,Musicals,Multi-show,Book your Half-term tickets now: 39% OffÃ‚Â Charlie & Chocolate Factory | Aladdin previews opened| The Hungry Caterpillar + Family Shows Ideas,(Do not use) FromTheBoxOffice Subscribers,May 27 2016 02:32 pm,"May 27, 2016 ",14:32:00,3:00:00 PM,Friday,90731,90699,26,6,32,0,0,23305,25.69%,33159,1369,1.51%,1947,281,19,31.56%,20.52593134
"Minefield, Hobson, Tiffany, wicked, Gobsmacked, Tristan, Truth, Beautiful, Sunny, Boat",Offer,Musicals,Multi-show,"Open For SunshineÃ¢Ëœâ‚¬Ã‚Â Opening & closing shows round-up, plus a selection of offers to brighten-up the day! Sideways, Zik'r, Minefield and more.",(Do not use) FromTheBoxOffice Subscribers,Jun 02 2016 08:03 pm,"Jun 02, 2016 ",20:03:00,8:00:00 PM,Thursday,142064,141954,73,37,110,0,0,25192,17.75%,34764,746,0.53%,4209,460,78,100.00%,61.66219839
"Hobson, Vamos,first ballet, Spoils, BWBB, Titanic, Red shoes, Showstopper, Bank, Islington",Offer,Musicals,Multi-show,Tickets for RENT The Musical available nowÃ¢Å¡Â¡Ã‚Â |Ã‚Â Save Up To 60% On Hobson's Choice | Sadler's Wells Season | Best Selling shows of the week - Book No,(Do not use) FromTheBoxOffice Subscribers,Jun 09 2016 09:53 am,"Jun 09, 2016 ",09:53:00,10:00:00 AM,Thursday,117699,117594,60,45,105,0,0,9138,7.77%,13203,763,0.65%,1154,255,20,45.95%,33.42070773
"Hobson, Vamos,first ballet, Spoils, BWBB, Titanic, Red shoes, Showstopper, Bank, Islington (copy 01)",Offer,Musicals,Multi-show,Tickets for RENT The Musical available nowÃ¢Å¡Â¡Ã‚Â |Ã‚Â Save Up To 60% On Hobson's Choice | Sadler's Wells Season | Best Selling shows of the week - Book No,(Do not use) FromTheBoxOffice Subscribers,Jun 10 2016 01:07 pm,"Jun 10, 2016 ",13:07:00,1:00:00 PM,Friday,23746,23736,7,3,10,0,0,12203,51.41%,17515,631,2.66%,4808,83,12,100.00%,13.15372425
"Sideways, Go-between, Show boat, In the heights, Truth, Barbu, Railway children",Offer,Musicals,Multi-show,"Theatre Flash Offers - Book by tomorrow & save! Sideways, The Go Between, The Truth, The Railways Children & more.",(Do not use) FromTheBoxOffice Subscribers,Jun 14 2016 04:34 pm,"Jun 14, 2016 ",16:34:00,5:00:00 PM,Tuesday,98054,97948,48,58,106,0,0,5329,5.44%,7470,332,0.34%,541,138,20,33.60%,41.56626506
"Sideways, Go-between, Show boat, In the heights, Truth, Barbu, Railway children (copy 01)",Offer,Musicals,Multi-show,"Theatre Flash Offers - Book by tomorrow & save! Sideways, The Go Between, The Truth, The Railways Children & more.",(Do not use) FromTheBoxOffice Subscribers,Jun 14 2016 06:00 pm,"Jun 14, 2016 ",18:00:00,6:00:00 PM,Tuesday,42987,42962,21,4,25,0,0,16092,37.46%,22820,550,1.28%,917,118,23,100.00%,21.45454545
"motown, guys & dolls, wicked, kinky, sunny, beautiful, thriller, showstopper, tiff, american idiot",Full-price,Musicals,Multi-show,"West End Live: Breakfast At Tiffany'sÃ‚Â Ã°Å¸â€™Å_, Rebel Wilson in Guys & Dolls | Sunny Afternoon Closing Offer & more!",(Do not use) FromTheBoxOffice Subscribers,Jun 17 2016 06:05 pm,"Jun 17, 2016 ",18:05:00,6:00:00 PM,Friday,140693,140588,80,25,105,0,0,21972,15.63%,33343,1484,1.06%,6132,274,43,43.73%,18.46361186
A View From Islington North,Offer,Plays,Multi-show,"Bringing Political Satire To The West End: 50% Off A View From Islington North at the Arts Theatre, Book Now!",(Do not use) FromTheBoxOffice Subscribers,Jun 19 2016 07:00 pm,"Jun 19, 2016 ",19:00:00,7:00:00 PM,Sunday,140396,140284,106,6,112,0,0,27115,19.33%,39252,459,0.33%,665,333,39,44.12%,72.54901961
Aladdin post opening,Reviews,Musicals,Multi-show,It's A Whole New Show: DisneyÃ¢â‚¬â„¢s Aladdin opens to rave reviews at the Prince Edward Theatre - Book Now!,(Do not use) FromTheBoxOffice Subscribers,Jun 21 2016 01:04 pm,"Jun 21, 2016 ",13:04:00,1:00:00 PM,Tuesday,140007,139952,42,13,55,0,0,25332,18.10%,36984,1505,1.08%,2296,363,24,37.89%,24.11960133
Comedy Special,Full-price,Comedy,Multi-show,Book a Comedy Show Today: David Baddiel Tickets On Sale Now | 43% Off Hobson's Choice & the best of the Udderbelly Festival.Ã‚Â Ã°Å¸â€™Â¢Ã°Å¸â€™Â¢,(Do not use) FromTheBoxOffice Subscribers,Jun 25 2016 12:00 pm,"Jun 25, 2016 ",12:00:00,12:00:00 PM,Saturday,139573,139503,52,18,70,0,0,18728,13.42%,26511,484,0.35%,749,214,28,58.26%,44.21487603
Funny Girl NBF Offer,Offer,Musicals,Solus,"Don't rain on my parade! Ã°Å¸Å’â€_Ã‚Â No Fees on all tickets for Funny Girl, The (sensational) Musical - Book Today!",(Do not use) FromTheBoxOffice Subscribers,Jun 29 2016 03:06 pm,"Jun 29, 2016 ",15:06:00,3:00:00 PM,Wednesday,44696,44666,30,0,30,0,0,20056,44.90%,27782,180,0.40%,217,145,12,18.06%,80.55555556
1984 Post-Opening E-shot,Reviews,Plays,Solus,"1984 at the Playhouse Theatre - Thought Criminals get 32% Off - Book Now, don't tell anyone.Ã‚Â ",(Do not use) FromTheBoxOffice Subscribers,Jun 29 2016 03:34 pm,"Jun 29, 2016 ",15:34:00,4:00:00 PM,Wednesday,94611,94561,29,21,50,0,0,5484,5.80%,7899,233,0.25%,282,141,13,48.87%,60.51502146
The Last Five Years On Sale Now! | Amanda Holden joins Cinderella cast,New On-Sale,Musicals,Multi-show,The Last Five Years On Sale Now! | Amanda Holden joins Cinderella cast | 69% Off The Spoils | Ã‚Â & more!,(Do not use) FromTheBoxOffice Subscribers,Jul 01 2016 05:11 pm,"Jul 01, 2016 ",17:11:00,5:00:00 PM,Friday,138992,138874,102,16,118,0,0,19093,13.75%,26416,734,0.53%,1177,195,18,52.29%,26.56675749
Funny Girl NBF Offer (copy 02),Offer,Musicals,Solus,"Don't rain on my parade! Ã°Å¸Å’â€_Ã‚Â No Fees on all tickets for Funny Girl, The (sensational) Musical - Book Today!",(Do not use) FromTheBoxOffice Subscribers,Jul 04 2016 11:56 am,"Jul 04, 2016 ",11:56:00,12:00:00 PM,Monday,94336,94269,55,12,67,0,0,4700,4.99%,6112,95,0.10%,162,136,19,27.03%,143.1578947
"The Australian Ballet - Swan Lake & Cinderella , Wicked, Vamos Cuba, BWBB, Sunken Cities",New On-Sale,Dance/Opera/Classical,Multi-show,The Australian Ballet lands in London! Ã°Å¸ËœÅ Ã‚Â Book Swan Lake & Cinderella with 30% Off Ã‚Â | PlusÃ‚Â Wicked Early Bird Offer & much more.,(Do not use) FromTheBoxOffice Subscribers,Jul 08 2016 06:17 pm,"Jul 08, 2016 ",18:17:00,6:00:00 PM,Friday,138562,138489,55,18,73,0,0,23205,16.76%,34181,1278,0.92%,1975,233,15,46.17%,18.23161189
"Showstopper, Romeo & Juliet, The Spoils, Impossible, Breakfast at Tiffanyâ€™s, The Bodyguard",Opening Soon,Musicals,Multi-show,"Opening & Closing soon shows: Romeo & Juliet ,Ã‚Â Exposure The MusicalÃ‚Â Ã°Å¸â€œÂ·, The Spoils, The Bodyguard & more!",(Do not use) FromTheBoxOffice Subscribers,Jul 12 2016 01:26 pm,"Jul 12, 2016 ",13:26:00,1:00:00 PM,Tuesday,138300,138190,63,47,110,0,0,23986,17.36%,32210,759,0.55%,1048,248,13,44.76%,32.67457181
The Dresser,Offer,Plays,Solus,"Save Ã‚Â£10 on all performances of The Dresser, starring Ken Stott @ The Duke Of York's Theatre - Dress Up and Book Now!",(Do not use) FromTheBoxOffice Subscribers,Jul 14 2016 06:02 pm,"Jul 14, 2016 ",18:02:00,6:00:00 PM,Thursday,7516,7497,10,9,19,0,0,1371,18.29%,2070,28,0.37%,34,4,2,35.29%,14.28571429
Show Boat Last Chance,Closing Soon,Musicals,Multi-show,"Show Boat ends in 6 weeks, book now for 50% Off! Ã¢â€ºÂµÃ‚Â If you love Musicals, you must go!",(Do not use) FromTheBoxOffice Subscribers,Jul 15 2016 06:02 pm,"Jul 15, 2016 ",18:02:00,6:00:00 PM,Friday,137993,137788,125,80,205,0,0,22566,16.38%,31863,789,0.57%,1171,236,20,45.07%,29.9112801
